,scene,obj,class,attribute,vel_x,vel_y,vel_z,omega_z,acc_x,acc_y,acc_z,dp_x,dp_y,dp_z
0,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935941513,-0.020050250073421462,0.059995246037728524,0.0,13.269095268670894,1.754746905764267,-6.050510311346825,0,0,0
1,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.19988438935941513,0.020050250073421462,-0.019986928268416856,0.0,-11.669687635347636,-1.594311550505945,5.7305150867947505,0,0,0
2,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935941513,-0.020050250073421462,0.0563372684973273,0.0,10.216514523415071,1.4485448681372224,-5.453074034781437,0,0,0
3,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.19988438935941513,0.020050250073421462,-0.016281572768670125,0.0,-8.615212867197238,-1.2879195248923312,5.1621942137895935,0,0,0
4,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935941513,-0.020050250073421462,0.05624607040208393,0.0,7.017557026095099,1.12765989057061,-4.872341131404125,0,0,0
5,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.19988438935941844,0.020050250073422017,-0.26732603429361984,0.0,-5.259574122408955,-0.9513179713408545,3.4494330444150103,0,0,0
6,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935943284,-0.020050250073424418,0.07366987238266963,0.0,3.646705636189774,0.7895323682336093,-2.0736839087009526,0,0,0
7,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.19988438935945246,0.020050250073427627,-0.2517914793702204,0.0,-2.1934922221314404,-0.643761643189491,0.8905880110159482,0,0,0
8,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935948163,-0.020050250073432065,0.059530841613328035,0.0,0.5922463814690168,0.4831418987602075,0.35639173857265694,0,0,0
9,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.1998843893595163,0.02005025007343724,-0.2515761709161184,0.0,1.0072062592406539,-0.32270202884537214,-1.6011135858565064,0,0,0
10,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.1998843893595667,-0.020050250073445325,0.03358960409942242,0.0,-2.7856598019646626,0.14430671548514046,2.8697321219638563,0,0,0
11,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.199884389359612,0.02005025007345326,0.7674998291240887,0.0,4.386912523787673,0.016313719188151145,0.06990650904589205,0,0,0
12,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935965722,-0.020050250073462693,0.03272759146472438,0.0,-5.986442216919978,-0.17676131817259053,-3.00983097135801,0,0,0
13,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,0.19988438935970249,0.020050250073473636,0.1673167642259441,0.0,7.58587197220317,0.337198892467939,3.5483070583171745,0,0,0
14,NuScenes-v1.0-mini-scene-0061-megvii,6dd2,human.pedestrian.adult,pedestrian.standing,-0.19988438935973862,-0.020050250073483787,0.3779357401918321,0.0,-9.039038157435245,-0.48296488002483196,-2.7827035641617885,0,0,0
